"","gene_name","isoform_id","dIF","isoform_switch_q_value","domain_identified","idr_identified","signal_peptide_identified","PTC","sub_cell_location","switchConsequencesGene"
"215","MRPS18C","ENST00000507019.5",0.1333875,0.0139150528838281,"yes","no","no",FALSE,"Mitochondrion",TRUE
"216","NRF1","ENST00000393232.6",-0.1407125,0.0145815239653837,"yes","yes","no",FALSE,"Nucleus",TRUE
"217","DCK","ENST00000503359.5",-0.13476875,0.0147093434790925,"no","yes","no",TRUE,"Nucleus",TRUE
"218","DNAH6","ENST00000389394.8",-0.27815625,0.0149905319486319,"yes","no","no",FALSE,"Cytoplasm",TRUE
"219","DDB2","ENST00000256996.9",0.1276625,0.0157416171279887,"yes","yes","no",FALSE,"Nucleus",TRUE
"220","RUFY1","ENST00000393438.6",-0.16286875,0.0158127071519839,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"221","THAP4","ENST00000407315.6",0.2038875,0.0158160094970674,"yes","yes","no",FALSE,"Nucleus",TRUE
"222","AMDHD1","ENST00000266736.7",-0.20000625,0.0158826862532916,"yes","no","no",FALSE,"Cytoplasm",TRUE
"223","RPLP0","ENST00000392514.9",-0.111,0.0159165319713747,"yes","no","no",FALSE,"Cytoplasm",TRUE
"224","SYNJ2BP-COX16","ENST00000621525.4",0.1284,0.015975182769357,"yes","no","no",FALSE,"Cytoplasm",TRUE
"225","C2orf49","ENST00000258457.7",-0.12973125,0.0160942538960218,"yes","yes","no",FALSE,"Nucleus",TRUE
"226","RAPGEFL1","ENST00000620260.6",-0.201925,0.0167181780071825,"yes","yes","no",FALSE,"Cytoplasm,Cell_membrane",TRUE
"227","MAPK1IP1L","ENST00000395468.9",0.12201875,0.0167808520305634,"yes","yes","no",FALSE,"Cytoplasm,Nucleus",TRUE
"228","NR2C1","ENST00000622476.4",0.12675,0.0169056207226551,"yes","no","no",FALSE,"Nucleus",TRUE
"229","ZNF497","ENST00000595763.1",0.13536875,0.0171425840544515,"no","yes","no",FALSE,"Cytoplasm",TRUE
"230","INPP5F","ENST00000650409.1",-0.17730625,0.0171839817345465,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"231","EHBP1","ENST00000431489.6",-0.1709625,0.0172662221242888,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"232","FKBP14","ENST00000222803.10",-0.17088125,0.0175062237453365,"yes","no","yes",FALSE,"Endoplasmic_reticulum",TRUE
"233","NMNAT2","ENST00000294868.8",-0.28230625,0.0180165915801259,"yes","no","no",FALSE,"Cytoplasm",TRUE
"234","GABARAP","ENST00000302386.10",0.1051125,0.0180491511754477,"yes","no","no",FALSE,"Cytoplasm",TRUE
"235","OLFML1","ENST00000329293.4",-0.1563125,0.0181123810333656,"yes","no","yes",FALSE,"Extracellular",TRUE
"236","THUMPD1","ENST00000396083.7",0.127975,0.0182112134554391,"yes","yes","no",FALSE,"Nucleus",TRUE
"237","FAM219B","ENST00000569524.5",-0.12685,0.0182774420138464,"no","yes","no",TRUE,"Nucleus",TRUE
"238","CORO6","ENST00000584602.1",0.15363375,0.0196742215853788,"yes","no","no",FALSE,"Cytoplasm",TRUE
"239","DCN","ENST00000425043.5",-0.11055625,0.0198705944097418,"yes","no","yes",FALSE,"Extracellular",TRUE
"240","RAB37","ENST00000392613.10",-0.2927625,0.0200084785230829,"yes","no","no",FALSE,"Cell_membrane,Lysosome_Vacuole",TRUE
"241","CD47","ENST00000355354.13",-0.1109875,0.0200191717087818,"yes","no","yes",FALSE,"Cell_membrane,Lysosome_Vacuole",TRUE
"242","FAM83F","ENST00000473717.1",0.20256875,0.0201293862941155,"yes","yes","no",FALSE,"Cytoplasm,Cell_membrane",TRUE
"243","ZNF569","ENST00000316950.11",-0.13778125,0.0216844985438522,"yes","no","no",FALSE,"Nucleus",TRUE
"244","C1QTNF7","ENST00000295297.4",-0.127328333333333,0.02239102236034,"yes","yes","yes",FALSE,"Extracellular",TRUE
"245","FAM86B1","ENST00000534520.6",0.1510625,0.0226609891169575,"yes","no","no",FALSE,NA,TRUE
"246","SORD","ENST00000267814.14",-0.1367625,0.0233294146488587,"yes","no","no",FALSE,"Cytoplasm",TRUE
"247","TSPAN10","ENST00000611590.2",0.144175,0.0235341510517972,"yes","no","no",FALSE,"Cell_membrane",TRUE
"248","MFAP5","ENST00000359478.7",-0.38940625,0.0235915956270843,"yes","no","yes",FALSE,"Extracellular",TRUE
"249","DEK","ENST00000652689.1",-0.1413125,0.0237223731574945,"yes","yes","no",FALSE,"Nucleus",TRUE
"250","CDC42EP3","ENST00000457889.1",-0.149875,0.0237346972334322,"yes","yes","no",FALSE,"Cytoplasm,Cell_membrane",TRUE
"251","SEMA6D","ENST00000354744.8",-0.12070625,0.0244671379819419,"yes","yes","yes",FALSE,"Cell_membrane",TRUE
"252","IKBKE","ENST00000579827.6",0.13874375,0.0256280591587577,"yes","no","no",FALSE,"Cytoplasm",TRUE
"253","SNX22","ENST00000325881.9",-0.169275,0.0256863199811927,"yes","no","no",FALSE,"Cytoplasm,Lysosome_Vacuole",TRUE
"254","TAF12","ENST00000373824.9",0.11534375,0.0257565576804981,"yes","yes","no",FALSE,"Nucleus",TRUE
"255","NUDT13","ENST00000357321.9",0.1406625,0.0262288554670276,"yes","no","no",FALSE,"Mitochondrion",TRUE
"256","SLC13A3","ENST00000290317.9",-0.36783125,0.0268960741899268,"yes","no","no",FALSE,"Cell_membrane",TRUE
"257","RIBC1","ENST00000414955.6",-0.16483125,0.0272706130608641,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"258","MARCHF2","ENST00000215555.7",0.10585625,0.0273095409599971,"yes","no","no",FALSE,"Cell_membrane,Lysosome_Vacuole",TRUE
"259","DOCK7","ENST00000637255.1",0.14973125,0.0278919125293048,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"260","HSD17B6","ENST00000322165.1",-0.3697125,0.0279417427850483,"yes","no","no",FALSE,"Endoplasmic_reticulum",TRUE
"261","EIF3K","ENST00000248342.9",0.1156,0.0279736893035648,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"262","DDO","ENST00000368924.9",0.13784375,0.0281281958069233,"yes","no","no",FALSE,"Peroxisome",TRUE
"263","RIMKLA","ENST00000431473.4",-0.10543125,0.0285407773435408,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"264","RCOR3","ENST00000367005.8",0.11344375,0.0286027747999726,"yes","yes","no",FALSE,"Nucleus",TRUE
"265","CLPTM1L","ENST00000320895.10",0.15015,0.0288544291020804,"yes","no","no",FALSE,"Endoplasmic_reticulum,Golgi_apparatus",TRUE
"266","TBRG4","ENST00000258770.8",0.10790625,0.0316491333498642,"yes","no","no",FALSE,"Mitochondrion",TRUE
"267","CD300A","ENST00000648095.1",-0.11199375,0.0329797111834068,"yes","no","no",FALSE,"Cell_membrane",TRUE
"268","BEND7","ENST00000480703.2",-0.10045625,0.0331522137234333,"yes","yes","no",FALSE,"Nucleus",TRUE
"269","RHBDD2","ENST00000006777.11",-0.12654375,0.0331689655636901,"yes","yes","no",FALSE,"Endoplasmic_reticulum",TRUE
"270","ZBTB8A","ENST00000373510.9",-0.11603125,0.0341939579321503,"yes","yes","no",FALSE,"Nucleus",TRUE
"271","RANGRF","ENST00000580434.5",-0.1333625,0.0344202695956726,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"272","ALDOC","ENST00000395321.6",-0.122975,0.0344935742034298,"yes","no","no",FALSE,"Cytoplasm",TRUE
"273","BANK1","ENST00000322953.9",-0.150375,0.0362779530667183,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"274","MRC2","ENST00000303375.10",0.115575,0.0369313940571017,"yes","no","yes",FALSE,NA,TRUE
"275","EGF","ENST00000509793.5",0.223425,0.0375291477002807,"yes","no","yes",FALSE,"Cell_membrane",TRUE
"276","GABPB2","ENST00000368916.1",0.109275,0.0376058449773667,"yes","yes","no",FALSE,"Nucleus",TRUE
"277","PTEN","ENST00000371953.8",-0.1331,0.0378214282287028,"yes","yes","no",FALSE,"Cytoplasm,Cell_membrane",TRUE
"278","ADAMTSL4","ENST00000271643.9",-0.175410416666667,0.0385839985115888,"yes","yes","yes",FALSE,"Extracellular",TRUE
"279","PACRG","ENST00000366888.7",-0.25600625,0.0385868678317599,"yes","no","no",FALSE,"Cytoplasm",TRUE
"280","PEX10","ENST00000447513.7",-0.18726875,0.0405358508835293,"yes","no","no",FALSE,"Peroxisome",TRUE
"281","ANXA9","ENST00000368947.9",0.13431875,0.0407840800420511,"yes","no","no",FALSE,"Cytoplasm",TRUE
"282","PDSS1","ENST00000376215.10",0.15534375,0.040833613323624,"yes","no","no",FALSE,"Mitochondrion",TRUE
"283","SLC6A16","ENST00000335875.9",-0.1563875,0.0416848653198582,"yes","no","no",FALSE,"Cell_membrane",TRUE
"284","DECR2","ENST00000219481.10",0.10928125,0.0417898841307639,"yes","no","no",FALSE,"Peroxisome",TRUE
"285","GTF2IRD2","ENST00000451013.7",-0.16254375,0.0420079898288742,"yes","yes","no",FALSE,"Nucleus",TRUE
"286","EEIG1","ENST00000373084.8",-0.123525,0.0446546872865747,"no","yes","no",FALSE,"Cytoplasm",TRUE
"287","BICDL1","ENST00000548673.6",-0.29294375,0.0459816850543551,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"288","CHIC1","ENST00000373502.10",0.133975,0.0464163660713114,"yes","yes","no",FALSE,"Cell_membrane,Lysosome_Vacuole,Golgi_apparatus",TRUE
"289","LIN52","ENST00000555028.7",-0.1100375,0.0471873131942132,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"290","FLRT3","ENST00000378053.3",0.11930625,0.0478238595402819,"yes","no","yes",FALSE,"Cell_membrane",TRUE
"291","ADD3","ENST00000356080.9",0.1262625,0.0487512788189795,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"292","CEACAM19","ENST00000619799.4",0.11341875,0.0493995309852864,"no","no","yes",FALSE,"Extracellular",TRUE
"293","TMX1","ENST00000457354.7",-0.124475,0.0499498921253567,"yes","yes","yes",FALSE,"Endoplasmic_reticulum",TRUE
"294","GGACT","ENST00000471912.1",-0.11354375,0.0499813296089044,"yes","no","no",FALSE,"Cytoplasm",TRUE
